acronym,detail
ack,acknowledgement
afaict,as far as i can tell
afaik,as far as i know
aoa,analysis of alternatives
asap,as soon as possible
bbl,brown bag lunch
ccw,comment and criticism welcome
cla,contributor license agreement
cli,command line interface
cmv,change my view
coc,code of conduct
concept ack,concept acknowledgement
devops,devlopment operations
di/dip,dependency inversion principle
dod,definition of done
dry,don't repeat yourself
dto,data transfer object
dx,developer experience
ebkac,error between keyboard and chair
eta,estimated time of arrival
fomo,fear of missing out
foss/floss,free & open source software
fouc,flash of unstyled content
fp,functional programming
fya,for your action
fyi,for your information
gui,graphical user interface
ianal,i am not a lawyer
icymi,in case you missed it
iirc,if i recall correctly
imo,in my opinion
itt,in this thread
kiss,keep it simple stupid
lgtm,looks good to me
loc/sloc,source lines of code
mcve,minimal complete valid/verfiable example
mpa,multi-page application
mr,merge request
mre,minimal reproducible example
mvc,model view controller
mvp,minimum viable product
mvvm,model view viewmodel
nack/nak,negative acknowledgement
nih,not invented here
np,no problem
oop,object oriented programming
op,original post/original poster
pebcak,problem exists between chair and keyboard
pebkac,problem exists between keyboard and chair
pebmac,problem exists between monitor and chair
pebuak,problem exists between user and keyboard
picnic,problem in chair not in computer
pobcak,a us government/military acronym for problem occurs between chair and keyboard
pr,pull request
raci,responsible accountable consulted and informed
rce,remote code execution
reprex,reproducible example
rfc,request for comments
rfi,request for information
rfp,request for proposal
rtfm,read the f*****g manual
scm,source code management
se,software engineer or system engineer
solid,single responsibility open-closed liskov substitution interface segregation and dependency inversion
spa,single-page application
sre,site reliability engineer
srp,single-responsibility principle
ssoc,social summer of code
swe,software engineer
tbd,to be defined/done
tested ack,tested acknowledgment
til,today i learned
tysm,thank you so much
utack,untested acknowledgment
vcs,version control software
wdyt,what do you think
wip,work in progress
wrt,with respect to
wysiwyg,what you see is what you get
xp,extreme programming
yagni,you ain't gonna need it
ymmv,your mileage may vary
afk,away from keyboard
brb,be right back
cmiiw,correct me if i'm wrong
ikr,i know right
ily,i love you
irl,in real life
iykyk,if you know you know
lfg,let's freaking go
lmfao,laughing my freaking *a* off
lmk,let me know
lol,laugh out loud
ltr,left to right
nvm,never mind
ofc,of course
rofl,rolling on floor laughing
rtl,right to left
smh,shaking my head
stfu,shut the *freak* up
ttyl,talk to you later
tyvm,thank you very much
yolo,you only live once
aws,amazon web services
fsf,free software foundation
gh,github
gnu,collection of free software a license
ms,microsoft
osi,open source initiative
so,stackoverflow
efk,elasticsearch fluentd and kibana
elk,elasticsearch logstash and kibana
lamp,linux apache mysql php perl or python
lemp,linux nginx server mysql php perl or python
mean,mongodb express.js angular.js node.js
mern,mongodb express.js react.js node.js
safe,suave or saturn azure fable elmish
lmao,laugh my ass off
am/pm,abbreviations for ante meridiem and post meridiem
bogo,buy one get one
bopus,buy online pick up in store
fwiw,an abbreviation meaning for what it’s worth
laser,light amplification by stimulated emission of radiation
ms.,commonly considered an abbreviation for miss but technically it’s not an abbreviation for anything. the period is there to indicate that it’s a valid title for adults to use.
p.s.,an abbreviation for postscript
pin,personal identification number
radar,radio detecting and ranging
rip,rest in peace this can also be an initialism as some people say r i p
scuba,self-contained underwater breathing apparatus
smart,specific measurable attainable realistic time-bound commonly used when setting goals
snafu,situation normal all fouled up
sohcahtoa,acronym used in mathematics to remember the trigonometric functions sine cosine and tangent.
sonar,sound navigation and ranging
sos,commonly assumed to stand for save our ship but technically the international distress signal doesn’t stand for anything
taser,tom a. swift electric rifle
vin,vehicle identification number
wd-40,water displacement 40th formula
zip,zone improvement plan
ajax,asynchronous javascript and xml
captcha,completely automated public turing test to tell computers and humans apart
cd-rom,compact disc read-only memory
dvd,digital versatile disc
fios,fiber optic service
gif,graphics interchange format
jpeg,joint photographic experts group
json,javascript object notation
png,portable network graphics
ram,random access memory
sim,subscriber identity module as in a sim card
url,an initialism that stands for uniform resource locator
wifi,an abbreviation commonly thought to stand for wireless fidelity but technically it doesn’t stand for anything
awol,absent without leave
conus,the continental united states
fema,federal emergency management agency
flotus,first lady of the united states
foia,freedom of information act
hipaa,health insurance portability and accountability act of 1996
hud,department of housing and urban development
ice,immigration and customs enforcement
nato,north atlantic treaty organization
oconus,outside the continental united states
osha,occupational safety and health administration
potus,president of the united states
scotus,supreme court of the united states
swat,special weapons and tactics
wic,special supplemental nutrition program for women infants and children
aids,acquired immunodeficiency syndrome
covid-19,coronavirus disease of 2019
cpap,continuous positive airway pressure
icu,intensive care unit
nicu,neonatal intensive care unit
preop,an abbreviation for preoperative
postop,an abbreviation for postoperative
rom,range of motion
sars,severe acute respiratory syndrome
stat,an abbreviation for statim which is latin for immediately
uti,urinary tract infection
abba,the name of the famous swedish pop group combines the first initial of its members’ names—agnetha björn benny and anni-frid.
aflac,american family life assurance company of columbus
at&t,an initialism for american telephone and telegraph
bafta,british academy of film and television arts
care,cooperative for assistance and relief everywhere
cvs,an initialism for consumer value store
dare,drug abuse resistance education
epcot,experimental prototype community of tomorrow
fifa,fédération internationale de football association
geico,government employees insurance company
h&m,an initialism for hennes & mauritz
ikea,ingvar kamprad elmtaryd agunnary. the first two words are the founder’s name invgvar kamprad and the second two refer to kamprad’s family farm elmtaryd and hometown agunnary sweden
madd,mothers against drunk driving
nasdaq,national association of securities dealers automated quotations
necco,new england confectionary company
unicef,united nations children’s fund
yahoo!,yet another hierarchically organized oracle
diy,do it yourself
eobd,end of business day
eod,end of day
faq,frequently asked questions
fbi,federal bureau of investigation
hr,human resources
idk,i don’t know
mba,masters of business administration
mia,missing in action
nasa,national aeronautics and space administration
nsfw,not safe for work
omg,oh my god
omw,on my way
pos,point of service
pov,point of view
tba,to be announced
tgif,thank god it’s friday
tmi,too much information
cal,calories
cm,centimetres
corp.,corporation
dept.,department
dr.,doctor
ed.,edition
est.,established estimated
et al.,et alii and others
fl oz,fluid ounces
ft,foot feet
gal.,gallons
i.e.,id est that is
in.,inches
inc.,incorporated
jr.,junior
kg,kilograms
km,kilometres
ltd.,limited
m,metres
mg,milligrams
min,minutes
mm,millimetres
mph,miles per hour
mr.,mister
mrs.,mistress
oz,ounces
sec,seconds
sq,square
sr.,senior
vol,volumes
vs.,versus
aaa,area agency on aging
aaalf,american association for active lifestyles and fitness
aac,area advisory committee
aah,american association of homecare
aahp,american association of health plans [direct link]
aahsa,american association of homes and services for the aging
aaidd,american association on intellectual and developmental disabilities
aamc,association of american medical colleges
aamr,american association on mental retardation
aapcc,adjusted average per capita cost
aarp,american association of retired persons [direct link]
aasa,aging and adult services administration
aauap,american association of university affiliated programs for persons with developmental disabilities
abcd,americans for better care of the dying [direct link]
abn,advance beneficiary notice
ac,alternative care
accs,assistive community care services
acdd,alabama council for developmental disabilities
ace,acute care for elders
acep,american college of emergency physicians
acf,administration for children and families
achca,american college of health care administrators [direct link]
ache,admission clearinghouse enterprise
aclf,adult congregate living facility
aco,accountable care organization
acove,assessing care of vulnerable elders
acp,advance care planning
acs,american community survey
act,assertive community treatment
action,advocates committed to improving our nursing
acts,aspen compaints/incidents tracking system
acyf,hhs administration for children youth and families
ad,advance directive
ada,aged/disabled adult waiver
adapt,alzheimer's disease anti-inflammatory prevention trial
adc,aahsa development corporation
add,administration on developmental disabilities
add health,national longitudinal study of adolescent health
adea,age discrimination in employment act
adh,arkansas department of health
adhd,attention deficit hyperactivity disorder
adi,alzheimer's disease initiative
adl,activity of daily living
adr,adverse drug reaction
adrd,alzheimer's disease or a related disorder
ads,automated discharge summary
adsa,aging and disability services administration
adt,admission discharge transfer
ae,adaptive environment
aem,aspen enforcement module
afc,adult foster care
afcars,adoption and foster care analysis and reporting system
afch,adult family-care home
afdc,aid to families with dependent children
afh,adult family home
afmc,arkansas foundation for medical care
agh,adult group home
agi,adjusted gross income
aha,american hospital association
ahc,academic health centers
ahca,agency for health care administration
ahcccs,arizona health care cost containment system
ahcpr,hhs agency for health care policy and research now the agency for healthcare research and quality
ahead,asset and health dynamics among the oldest old
ahec,area health education center
ahic,american health information community
ahima,american health information management association [direct link]
ahrq,hhs agency for healthcare research and quality previously the agency for health care policy and research
ahs,american housing survey
aig,american international group
aime,average indexed monthly earning
aip,annual implementation plan
ak,alaska
al,alabama
al+,assisted living plus
al/rc,assisted living/residential care
alc,assisted living community
ale,assisted living for the elderly waiver
alf,assisted living facility
alfa,assisted living federation of america
alp,assisted living program
alr,assisted living residence
alr-rc,assisted living residence-residential care
alr-srhc,assisted living residence-supported residential health care
als,assisted living score
alsa,assisted living service agency
altcs,arizona long-term care systems
alu,assisted living university
alw,assisted living workgroup
alwpp,assisted living waiver pilot project
ama,american medical association
amcra,american managed care and review association
amda,american medical directors association
amso,american medical specialty organization [direct link]
ana,administration for native americans
and,allow natural death
apa,american psychological association
apc,ambulatory payment classification
apd,agency for persons with disabilities
apdrg,all patient diagnosis related group
apha,american public health association [direct link]
apm,alternative payment methodology
aps,adult protective services
apwa,american public welfare association
aq,administrator questionnaire
ar,arkansas
arc,aids related complex
arf,area resource file
arm,administrative rules of montana
asa,american society on aging
ascu,alzheimer's special care unit
asl,american sign language
aso,administrative services organization
asp,application service provider
aspe,hhs office of the assistant secretary for planning and evaluation [direct link]
aspen,automated survey processing environment
aspr,assistant secretary for preparedness and response
astcdpd,association of state and territorial chronic disease program directors
at,assistive technology
atac,assistive technology advocacy center
astho,association of state and territorial health officials
atsdr,agency for toxic substances and disease registry
atus,american time use survey
awp,average wholesale price
az,arizona
azt,azidothymidine
b&b,baccalaureate and beyond longitudinal study
b&c,board and care
bba,balanced budget act
bbra,balanced budget refinement act
bcbs,bluecross blue shield
bcu,background check unit
bds,maine department of behavioral and developmental services
bea,bureau of economic analysis
bho,behavioral health care organization
bhp,behavioral health plan
bia,bureau of indian affairs
bipa,benefits improvement and protection act
biw,brain injury waiver
bjbc,better jobs better care
bjs,bureau of justice statistics
bls,bureau of labor statistics
blsa,baltimore longitudinal study on aging
bmi,body mass index
boe,basis of eligibility
bps,beginning postsecondary students longitudinal study
brass,blaylock discharge risk assessment screen
brfss,behavioral risk factor surveillance system
bsci,basic supplement criteria inventory
bscip,brain and spinal cord injury program
bxrhio,bronx regional health information organization
c-ii,schedule 2 controlled substances
ca,california
cac,clinical application coordinator
cadr,ryan white care act data report
cah,critical access hospital
cahmi,child and adolescent health measurement initiative
cahps,consumer assessment of health plans
cahsa,california association of homes and services for the aging
cap,college of american pathologists
cap/da,community alternatives program for disabled adults
capta,child abuse prevention and treatment act
cares,comprehensive assessment and review for long term care services
carf,commission on accreditation for rehabilitation facilities
cars,community awareness and relocation services
cati,computer-assisted telephone interview
cba,community-based alternative
c-bai,clinical baseline assessment instrument
cbai,clinical baseline assessment instrument
cbo,community-based organization
cbrf,community-based residential facility
cbs,community-based services
cc,coordinating center
cca,cost consequence analysis
ccad,community care for aged and disabled
ccb,community centered board
ccci,community caregiving capacity index
ccd,continuity of care document
cce,community care for the elderly
cchit,certification commission for healthcare information technology
cclc,continuing care leadership coalition
ccped,community care program for the elderly and disabled
ccr,continuity of care record
ccrc,continuing care retirement community
cd,consumer directed
cda,clinical document architecture
cdbg,community development block grant
cdc,hhs centers for disease control and prevention
cddo,community developmental disabilities organization
cddp,community developmental disability program
cdf,childrens defense fund
cdpap,consumer-directed personal assistance program
cd-pas,consumer directed personal assistance service
cdr,clinical data repository
cds,center for demographic studies
cdss,clinical decision support system
ce,consumer expenditure survey
cea,cost-effectiveness analysis
ceo,chief executive officer
ceosc,comprehensive employment opportunities support center
cerc,children's evaluation and rehabilitation center
cessi,cherry enginneering support solutions inc.
ceta,comprehensive employment and training act of 1974
cfc,choices for care
cfla,community and family living amendment
cforat,center for accessible technology [direct link]
cfr,code of federal regulations
champus,civilian health and medical program of the uniformed services
champva,civilian health and medical program of the department of veterans affairs
chap,children's hospital aids program
chc,community health center
chcs,center for health care strategies [direct link]
chec,community health environment checklist
ches,caregiver health effects study
chf,congestive heart failure
chi,consolidated health informatics
chief,craig hospital inventory of environmental factors
chip,children's health insurance program
chis,california health interview survey
chmis,community health management information systems
chr,community health record
chs,cardiovascular health study
chspr,center for health services and policy research
chsr,center for health services research
chsra,center for health systems research and analysis
chsrp,center for health services research and policy
cics,customer information control system
cil,center for independent living
cio,chief information officer
cip,community integration program
cis,clinical information system
ciss,community integrated service systems
cjtg,critical jobs training grant
class waiver,community living assistance and support services waiver
clia,clinical laboratory improvement act
cltc,community long-term care
cma,community medical associates
cme,continuing medical education
cmhc,community mental health center
cmhs,center for mental health services
cmhsp,community mental health service program
cmo,care management organization
cmp,civil monetary penalty
cmr,computerized medical record
cms,hhs centers for medicare and medicaid services previously the health care financing administration
cmwf,commonwealth fund
cna,certified nurse aide/assistant
cnpi,checklist of nonverbal pain indicators
cns,community nurse service
co,colorado
cob,coordination of benefits
cobra,consolidated omnibus budget reconciliation act
cod,children of the depression cohort
coi,cost of illness analysis
cola,cost of living adjustment
con,certificate of need
conquest,computerized needs-oriented quality measurement evaluation system
contac,consumer organization and networking technical assistance center
cop,community options program
cop-w,community options program waiver
copd,cardiopulmonary disease
cope,caregivers' out-of-pocket expense survey
copes,community options program entry system
core,coalition of organizations to reform eldercare
cots,commercial-off-the-shelf
cpac,competitive pricing advisory committee
cpch,comprehensive personal care home
cpi,consumer price index
cpoe,computer-based provider order entry
cpp,care provider profile
cpq,care provider questionnaire
cpr,cardiopulmonary resuscitation
cprs,computer-based patient record system
cps,child protective services
cpsc,consumer product safety commission
cpst,community psychiatric support and treatment
cpt,current procedural terminology
cpt-4,current procedural terminology fourth edition
cr,care recipient
crc,community rating by class
crcf,community residential care facility
crcs,center for residential and community services
crf,community residential facility
crpac,clinical research policy analysis and coordination program
crs,congressional research service
csap,center for substance abuse prevention
csat,center for substance abuse treatment
csc,computer science corporation
cse,office of child support enforcement
cshcn,children with special health care needs
cshp,center for state health policy
csla,community supported living arrangements
csp,community supports program
csw,community support waiver
ct,clinically trained
ctep,california training and education provider
cti,caregiver training initiative
cva,cerebral vascular accident
cwla,child welfare league of america
daas,division of aging and adult services
dad,department of aging and disabilities
da&d,department of aging and disabilities
dads,department of aging and developmental disabled services
daf,data abstraction form
dail,department of disabilities and independent living
daltcp,hhs office of disability aging and long-term care policy
dbc,deaconess billings clinic
dbhr,division of behavioral health and recovery
dbna,data base news in aging
dbtac,disability and business technical assistance center
dc,district of columbia
dca,direct care alliance [direct link]
dcc,data collection coordinator
dcct,diabetes control and complications trail
dcohcf,district of columbia office of health care financing
dcwi,direct care workers' initiative
dd,developmental disability
dda,developmental disabilities administration
ddp,developmental disabilities profile
ddrc,developmental disabilities resource center [direct link]
dds,division of disability services
ddsd,developmental disability services division
ddspd,office of developmental disability services seniors and persons with disabilities
ddss,denver department of social services
de,delaware
dec,data entry clerk
ded,department of education
dehpg,disabled and elderly health program group
des,diethylstilbestrol
desc,downtown emergency service center
dh,disability and health
dhca,department of housing and community affairs
dhcpf,department of healthcare policy and financing
dhfs,department of health and family services
dhhs,department of health and human services [direct link]
dhmc,denver health medical center
dhmh,department of health and mental hygiene
dhs,department of health services
dhss,department of health and senior services
di,disability insurance
dia,department of inspections and appeals
dmahs,division of medical assistance and health services
dmas,department of medical assistance services
dme,disposable medical equipment
dmh,department of mental health
dmr,department of mental retardation
dmrs,division of mental retardation services
dms,division of medical services
dnar,do not attempt resuscitation
dnr,do not resuscitate
doe,department of education
doea,department of elder affairs
doh,department of health
doj,u.s. department of justice
dol,u.s. department of labor
don,determination of need
dors,division of rehabilitation services
dpa,diversified placement approach
dpahc,durable power of attorney for health care
dph,department of public health
dpoa,durable power of attorney
dpw,department of public welfare
dqa,division of quality assurance
dqr,data quality report
dra,deficit reduction act
drg,diagnostic related group
dri,dietary reference intake
drs,division of rehabilitation services
dsh,disproportionate share hospital
dshs,department of social and health services
dsm,diagnostic and statistical manual of mental disorders
dsmb,direct-to-consumer advertisting
dspd,division of services for people with disabilities
dss,department of social services
dtc,direct to consumer
dur,drug utilization review
dvr,division of vocational rehabilitation
e-arch,extended adult residential care home
e-hie,electronic health information exchange
e-mar,electronic medication administration record
e-tar,electronic treatment administration record
eao,external affairs officer
eap,employee assistance plan
earc,enhanced adult residential care
eb,early boomers
ebm,evidenced-based medicine
ebp,evidence-based practice
ecc,extended congregate care
eccli,extended care career ladder initiative
ecf,extended care facility
echo,enhanced community and homecare option
ecin,extended care information network
ecls,early childhood longitudinal survey
eco,enhanced community options
ect,electroconvulsive therapy treatment
ed,u.s. department of education
edd,employment development department
edi,electronic data interchange
efi,electronic file interchange
ehis,electronic health information system
ehit,emerging health information technologies
ehp,enriched housing program
ehr,electronic health record
ehr-s,ehr system
eis,electronic information system
eitc,earned income tax credit
emr,electronic medical record
ems,emergency medical services
emtala,emergency medical treatment and active labor act
en,employment network
encc,exceptional needs care coordinator
enp,elderly nutrition program
eoea,executive office of elder affairs
ep,eligible professional
epa,u.s. environmental protection agency
epc,evidence-based practice center
epic,evaluation of practice in care
epsdt,early and periodic screening diagnosis and treatment program
er,emergency room
erc,enhanced residential care
erisa,employee retirement income security act
ers,economic research service
es,employment specialist
esrd,end stage renal disease
et,expenditure target
et choices,employment and training choices supported work program
etp,employment training panel
evr,enhanced vocational rehabilitation
exsped,expanded service payments for elderly and disabled program
fa,fiscal agent
faast,florida alliance for assistive services and technology
facct,foundation for accountability
faep,federal advisory expert panel
faet,federal adverse events task force
faha,florida association of homes for the aging
fala,florida assisted living association
fars,fatality analysis reporting system
fast,functional assessment staging criteria
fbr,federal benefit rate
fca,family caregiver alliance [direct link]
fda,hhs food and drug administration
fdb,first databank
fdle,florida department of law enforcement
fehbp,federal employees health benefits program
ffp,federal financial participation
ffs,fee for service
fha,fair housing act
fi,fiscal intermediary
fia,family independence agency
ficap,firearm injury center at penn
ficc,federal interagency coordinating council
fics,family and individual consultation and support
fim,functional independence measure
fip,family independence program
fl,florida
flicra,florida life care residents' association
flsa,fair labor standards act
fltcip,federal employees' long-term care insurance program
fmap,federal medical assistance percentage
fmla,family and medical leave act
fpcg,female primary caregiver
fpeca,florida policy exchange center on aging
fpl,federal poverty level
fpo,future purchase option
fqhc,federally qualified health center
fsa,family support administration
fsiir,functional status rating scale
fsl,family and supported living
fsw,family support waiver
ftc,federal trade commission
fte,full time employee
fy,fiscal year
g-tube,gastrostomy tube
ga,general assistance
gaap,generally acceppted accounting principles
gafc,group adult foster care
gain,greater avenues for independence
gao,u.s. general accounting office now the u.s. government accountability office
gec,geriatrics and extended care
ged,general educational development/general equivalency diploma
gee,generalized estimating equation
gem,geriatrics evaluation and measurement unit
gemcris,genetic modification clinical research information system
ghaa,group health association of america
gic,general insurance commission
gis,geographic information system
gme,graduate medical education
gnp,geriatric nurse practitioner
gpci,geographic practice cost indexes
grh,group residential housing
gst,group skills training
gvf,general variance function
gwu,george washington university
h&p,history and physical
haa,hospice association of america
hab,hiv/aids bureau
han,healthy aging network
hbpc,hospital-based primary care
hcb,home and community-based care waiver
hcb-dd waiver,home and community-based services for the developmentally disabled waiver
hcbs,home and community-based services
hce,home care for the elderly
hcfa,hhs health care financing administration now the centers for medicare and medicaid services
hcpcs,healthcare common procedural coding system
hcpr,university of colorado division of health care policy and research
hcs,home and community-based service
hcs-o waiver,home and community-based services obra waiver
hcup qis,healthcare cost and utilization project quality indicators
hds,health delivery system
hecm,home equity conversion mortgage
hedis,health plan employer data and information set
hero,homecare empowerment research and organizing
hfam,health facilities association of maryland
hfd,health facilities division
hfma,healthcare financial management association
hha,home health agency
hhabn,advance beneficiary notice for home health care services
hhanes,hispanic health and nutrition examination survey
hhc,health and hospitals corporation
hhrg,home health resource group
hhs,health and human services
hhsc,health and human services commission
hi,hawaii
hiaa,health insurance association of america [direct link]
hic,health insurance claim
hid,health improvement division
hie,health information exchange
hien,health information exchange network
hifa,health insurance flexibility and accountability
himss,health information and management systems society
hipc,health insurance purchasing cooperative
his,health insurance study
hiskew,health insurance skeleton eligibility write-off
hit,health information technology
hitsp,health information technology standards panel
hiv,human immunodeficiency virus
hl7,health level seven 7
hmc,health management consultants
hmo,health maintenance organization
hmsa,health manpower shortage area
hope,health opportunities for people everywhere also known as project hope
hos,medicare health outcomes survey
hp,hewlett-packard
hp2010,health people 2010
hprd,hours per resident day
hra,health risk appraisal
hrca,hebrew rehabilitation center for the aged
hrql,health-related quality of life
hrs,health and retirement study
hrsa,health and retirement savings accounts
hsa,health savings account
hsls,high school longitudinal study
hsp,health systems plan
hsra,human subject research subcommittee
hsri,human services research institute
hta,health technology assessment
i&dd,intellectual and developmental disabilities
i&r,information and referral
ia,iowa
iaa,intra-agency agreement
iadl,instrumental activity of daily living
iahsa,iowa association of homes and services for the aging
ibc,institutional biosafety committee
ica,iowa caregivers association
icap,inventory for client and agency planning
icd-9-cm,international classification of diseases ninth edition clinical modification
icdr,interagency committee on disability research
icf,intermediate care facility
icf/mr,intermediate care facility for persons with mental retardation
icf-mr,intermediate care facility for persons with mental retardation
icidh,international classification of impairments disabilities and handicaps
icnp,international classification of nursing practice
icp,institutional care program
ics,informal caregiver supplement
id,idaho
idea,individuals with disabilities education act
idr,informal dispute resolution
iep,individualized education plan
ies,institute of education sciences
ifas,institute for the future of aging services
ifmc,iowa foundation for medical care
ifs,individual and family support
igcltc,intra-governmental council on long term care
ihc,intermountain health care
ihca,iowa health care association
ihie,indiana health information exchange
ihps,institute for health policy solutions [direct link]
ihss,in-home supportive services
ijo,investment in job opportunities
il,illinois
