acronym,detail
ilc,independent living center
ilp,independent living partnership
ilru,independent living research utilization [direct link]
iltc,institutional long-term care
iltcp,inventory of long-term care places
iltcrp,inventory of long term care residential places
imd,institution for mental disease
imsa,insurance marketplace standards association
in,indiana
inpc,indianapolis network for patient care
io waiver,individual options waiver
iog,institute of gerontology
iom,institute of medicine
ipc,national medical expenditure survey institutional population component
ipf,inpatient psychiatric facility
ippe,initial preventive physical examination
ipr,independent professional review
ips,individual placement and support
ipv,intimate partner violence
ira,individual retirement account
irb,institutional review board
irf pai,inpatient rehabilitation facility patient assessment instrument
irf-pai,inpatient rehabilitation facility patient assessment instrument
irs,internal revenue service
isn,integrated service networks
iso,intermediary services organization
isp,individual support plan
issa,international social security administration
it,information technology
iv,intravenous
iu,indiana university
iuf,internal use file
jacc,jersey assistance for community caregiving
jama,journal of the american medical association [direct link]
jcaho,joint commission on accreditation of healthcare organizations
jcarr,joint committee on agency rule review
jeoa,journalists exchange on aging
jfo,joint field office
jhha,jewish home and hospital agency
jhhls,jewish home and hospital lifecare system
kahsa,kansas association of homes and services for the aging
ken,knowledge exchange network
ks,kansas
ky,kentucky
l&c,licensing and certification
la,louisiana
lah waiver,living at home waiver
lan,local area network
lc,licensed counselor
lds,limited data set
leie,list of excluded individuals/entities
lma,limited medication administration
lmh,limited mental health
lms,lifetime maximum structure
ln,licensed nurse
lns,limited nursing service
loc,level of care
loinc,logical observation identifiers names and codes
los,length of stay
lpn,licensed practical nurse
lra,laguna research associates
lsia,life satisfaction index a
lsoa,longitudinal study of aging
ltac,long-term acute care
ltc,long-term care
ltcfm,long-term care financing model
ltci,long-term care insurance
ltc psu,long-term care primary sampling units
ltc nr psu,long-term care non-self representing primary sampling units
ltc sr psu,long-term care self-representing primary sampling units
ltccs,long term care consultation service
lvg,lexical variant generator
lvn,licensed vocational nurse
m+c,medicare+choice
m&e,management and evaluation
ma,massachusetts
maa,medical assistance to the aged
mac,medicare administrative contractor
macil,michigan association of centers for independent living
madl,mobility activity of daily living
manpha,mid-atlantic non-profit health and housing association
mao,medicare advantage organization
mar,medication administration record
mas,maintenance assistance status
mb,mid-boomers
mc,managed care
mcare,national clearinghouse on managed care and long-term supports and services for people with developmental disabilities and their families [direct link]
mcbs,medicare current beneficiary survey
mco,managed care organization
mcs,multiple chemical sensitivity
md,doctor of medicine
mdch,michigan department of community health
mdcp,medically dependent children's program
mds,managed delivery system
mds-als,minimum data set-assisted living services
me,maine
medpac,medicare payment advisory commission
meps,medical expenditure panel survey
mfcu,medicaid fraud control unit
mfp,money follows the person
mft,marriage and family therapist
mgh,massachusetts general hospital
mh,mental health
mha,mental health authority
mhbg,mental health block grant
mhcc,maryland health care commission
mhha,montefiore home health agency
mhma,mental health management of america
mhra,minnesota human rights act
mhsa,mental health and substance abuse
mi,michigan
micda,university of michigan center on the demography of aging [direct link]
mig,medicaid infrastructure grant
mippa,medicare improvements for patients and providers act
mis,management information system
mln,medicare learning network
mltc,managed long-term care
mma,medicare prescription drug improvement and modernization act
mmis,medicaid management information system
mmse,mini-mental state examination
mn,minnesota
mo,missouri
mocdd waiver,missouri children with developmental disabilities waiver
most,michigan opportunities skills program
mou,memorandum of understanding
mpaf,medicare pps assessment form
mpfs,medicare physician fee schedule
mpi,master patient index
mppc,maine primary partners in caregiving
mpr,mathematica policy research [direct link]
mqa,medical quality assurance
mr/dd,mental retardation and other developmental disabilities
mrc,managed residential community
mrep,medicare remit easy print
mrhfp,medicare rural hospital flexibility program
mri,medical records institute
mrla,mental retardation local authority
msa,metropolitan statistical area
mshda,michigan state housing development authority
msho,minnesota senior health options
mso,multi-service organization
msq,mental state questionnaire
msis,medicaid statistical information system
mspca,massachusetts society for the prevention of cruelty to animals
mt,montana
mte,maximum taxable earning
n4a,national association of area agencies on aging
nac,national advisory council
naccho,national association of city and county health officials
nachri,national association of childrens hospitals and related institutions
naddc,national association of developmental disabilities councils [direct link]
nahc,national association for home care
naic,national association of insurance commissioners [direct link]
namcs,national ambulatory medical care survey
napas,national association of protection and advocacy systems
naphs,national association of psychiatric health systems
nas,national academy of sciences
nasddds,national association of state departments of developmental disability services
nashp,national academy for state health policy
nasmhpd,national association of state mental health program directors [direct link]
nasua,national association of state units on aging
nasw,national association of social workers
nber,national bureau of economic research
nbs,national beneficiary survey
nc,north carolina
ncal,national center for assisted living
ncands,national child abuse and neglect data system
nccc,national chronic care consortium [direct link]
nccnhr,national citizen's coalition for nursing home reform
ncd,national council on disability [direct link]
ncdfs,north carolina division of facility services
ncdhhs,north carolina department of health and human services
ncea,national center on elder abuse
nchcfa,north carolina health care facilities association
nchit,national coordinator for health information technology
nchs,hhs/cdc national center for health statistics
nchsd,national consortium for health systems development
nchsr,national center for health services research
nci,national cancer institute
ncmrr,national center for medical rehabilitation research
ncoa,national council on the aging [direct link]
ncqa,national committee for quality assurance
ncrc,national consortium and resource center
ncrf,national center of residential facilities
ncrr,national center for research resources
ncs,national comorbidity survey
ncs-a,national comorbidity survey for adolescents
ncs-r,national comorbidity survey replication
ncsbn,national council of state boards of nursing
ncsl,national conference of state legislatures
ncvhs,national committee on vital and health statistics
ncvs,national crime victimization survey
nd,north dakota
ndc,national drug code
ndi,national death index
ne,nebraska
nea,national endowment for the arts
neclc,national emergency child locator center
neiss-aip,national electronic injury surveillance system-all injury program
nels,national education longitudinal study
nf,nursing facility
nfcsp,national family caregiver support program
nga,national governors association
nh,new hampshire
nhamcs,national hospital ambulatory medical care survey
nhanes,national health and nutrition examination survey
nhats,national health and aging trends study
nhc,nursing home component
nhcs,national health care survey
nhcu,nursing home care unit
nhd,nursing home diversion waiver
nhds,national hospital discharge survey
nhes,national household education survey
nhhcs,national home and hospice care survey
nhic,national health information center
nhii,national health information infrastructure
nhin,national health information network
nhis,national health interview survey
nhis-d,national health interview survey disability supplement
nho,national hospice organization
nhopp,national hospice outcomes planning project
nhra,nursing home reform act
nhs,national health services
nhtsa,national highway and traffic safety administration
nia,hhs/nih national institute on aging
niaaa,national institute alcoholism and alcohol abuse
nibrs,national incident-based reporting system
nic,national investment conference
nida,national institute of drug abuse
nidrr,national institute on disability and rehabilitation research
nifl,national institute for literacy
nimh,national institute of mental health
ninr,national institute for nursing research
nis,national incidence study of child abuse and neglect
nis-2,study of the national incidence of child abuse and neglect of 1988
nish,national industries for the severely handicapped
nj,new jersey
nj ease,new jersey easy access single entry
nltcs,national long-term care survey
nlm,national library of medicine
nls,national longitudinal survey
nlsy,national longitudinal survey of youth
nlsy79,national longitudinal survey of youth 1979
nlsy97,national longitudinal survey of youth 1997
nlts,national longitudinal transition study
nltcs 2012,national longitudinal transition study 2012
nltcs2,national longitudinal transition study 2
nm,new mexico
nmces,national medical care expenditure survey
nmcues,national medical care utilization and expenditure survey
nmes,national medical expenditures survey
nmfs,national mortality followback survey
nmhs,north mississippi health services
nmmc,north mississippi medical center
nnhs,national nursing home survey
norc,national opinion research center
nors,national ombudsman reporting system
now,new opportunities waiver
npa,national pace association
npi,naitonal provider identifier
npp,non-physician practitioners
nprm,notice of proposed rulemaking
npsas,national postsecondary student aid study
nqf,national quality forum
nr,not reported
nra,negotiated risk agreement
nrc-cwdt,national resource center for child welfare data and technology
nrh,national rehabilitation hospital
nrh-rc,national rehabilitation hospital research center
nri,national research institute
nrp,national response plan
ns,not specified
ns-cshcn,national survey of children with special health care needs
nsa,notification of study admission
nscf,national survey of ssi children and families
nsch,national survey of children's health
nscsl,national senior citizens law center
nsduh,national survey on drug use and health
nsfh,national survey of families and households
nsga,national senior games association
nspo,national study of physician organizations
nsrcf,national survey of residential care facilities
nsrf,national survey of residential facilities
nssats,national survey of substance abuse treatment services
nssca,national survey of self care and aging
nsv,national survey of veterans
ntid,national technical institute for the deaf
ntis,national technical information service [direct link]
nto,not taken out
ntp,national treatment plan
nud*ist,non-numeric unstructured data index searching and theorizing
nv,nevada
nvdrs,national violent death reporting system
nviss,national violent injury statistics system
ny,new york
nydoh,new york department of health
nys,new york state
nysed,new york state education department
oaa,older americans act
oas,office of applied studies
oasdi,old-age survivors and disability insurance
oasis,outcome and assessment information set
oba,office of biotechnology activities
obqi,outcome-based quality improvement
obra,omnibus budget reconciliation act
obtp,outcomes-based treatment planning
oca,office of client advocacy
ocesaa,omnibus consolidated and emergency supplemental appropriations act
ocr,office of civil rights
odep,office of disability employment policy [direct link]
odphp,office of disease prevention and health promotion
ods,office on disability services
oecd,organisation for economic co-operation and development
oh,ohio
ohcds,organized health care delivery systems
ohcq,office of health care quality
ohds,office of human development services
ohit,office of health information technology
ohp,oregon health plan
ohrp,office for human research protections
oig,hhs office of the inspector general
ois,office of information services
ok,oklahoma
ok-warn,oklahoma weather alert remote notification
ols,ordinary least squares
oltc,office of long term care
omb,u.s. office of management and budget
omh,office of mental health
omr,office of mental retardation
omrs,office of mental retardation services
onc,office of the national coordinator
opal,online psychology alerting
ophs,office of public health services
oppd,office for persons with physical disabilities
opt,outpatient physical therapy
or,oregon
ord,office of research and demonstrations
ors,office of regulatory services
ort,operation restore trust
oscar,online survey and certification automated record
osers,office of special education and rehabilitative services
oshpd,office of statewide health planning and development
osp,office of social programs
oss,optional state supplementation
ossc,oregon structural specialty care
ot,occupational therapist
p&a,protection and advocacy
p4p,pay-for-performance
pa,pennsylvania
pac,post-acute care
pace,program of all-inclusive care for the elderly
pacs,picture archiving and communication system
pact,programs for assertive community treatment
padl,performance activities of daily living scale
pahpa,pandemic and all-hazards preparedness act
pai,patient assessment instrument
pal,partners for active lifestyle
pals,participation and activity limitation survey
parc,practices and resources clearinghouse
pas,personal assistance service
pasarr,pre-admission screening and annual resident review
pasp,personal assistance services program
pass,plans for achieving self support
path,pennsylvania transition to home
pbm,pharmacy benefit manager
pbs,public broadcasting system
pc,pastoral counseling
pca,personal care aide/assistant/attendant
pcc,parent and child center
pccm,primary care case management
pch,personal care home
pcp,primary care physician
pcrs,patient care record system
pcs,personal care service
pcsp,provider customer service program
pda,pennsylvania department on aging
pdf,portable document file
pds,potential disadvantages score
pdufa,prescription drug user fee act
peach,positive employment and community help
peg tube,percutaneous endoscopic gastrostromy tube
pep,physicians enhanced program
pers,personal emergency response system
peti,post-eligibility treatment of income
pfds,person and family direct support waiver
pfi,physical functioning inventory
pfth,program for the handicapped
pgc,philadelphia geriatric center
pha,public housing authority
phep,public health emergency preparedness
phi,paraprofessional healthcare institute
php,prepaid health plan
phs,public health service
pi,principal investigator
pic,hhs policy information center [direct link]
pio,public information officer
pirs,patient index reimbursement system
pmap,pre-paid medical assistance program
pmhs,public mental health system
pmri,patient medical record information
pna,personal needs allowance
pnmi,private non-medical institution
pns,projects of national significance
poc,point of care
polst,physician order for life-sustaining treatment
ppa,preferred provider arrangement
ppaca,patient protection and affordable care act
ppo,preferred provider organization
pps,prospective payment system
pq,partnership qualified
pqri,physician quality reporting initiative
prep,preparedness enrichment and predictability
prf,public residential facility
pri,patient referral instrument
prn,pro re nata
pro,peer review organization
propac,prospective payment assessment commission
prtf,psychiatric residential treatment facility
prwora,personal responsibility and work opportunities reconciliation act
psda,patient self-determination act
psid,panel study of income dynamics
pso,provider sponsored organization
psr,physical status review
psu,prescreening unit
psur,periodic safety update report
pt,part-time
pta,parent-teacher association
puf,public use file
puns,prioritization of urgency and need for services
pvrp,physician voluntary reporting program
pvs,permanent vegetative state
pwa,people with hiv/aids
pwd,people with disabilities
qa,quality assurance
qaly,quality-adjusted life year
qan,quality assurance nurse
qi,quality improvement
qic,quality improvement consultant
qio,quality improvement organization
qip,quality improvement project
qipmo,quality improvement program for missouri
qip-mo,quality improvement program for missouri
qm,quality matters
qmb,qualified medicare beneficiary
qmhp,qualified mental health professional
qpu,quarterly provider update
qrs,quality reporting system
r&d,research and development
rai,resident assessment instrument
rap,resident assessment protocol
rbrvs,resource-based relative value scale
rc,related condition
rcac,residential care apartment complex
rcf,residential care facility
rcfe,residential care facility for the elderly
rch,residential care home
rchla,residential care home licensing act
rci,rosalynn carter institute
rcs,residential care setting
rct,randomized clinical trial
reach,realizing economic achievement
rf,rehabilitation facility
rfid,radio frequency identification
rfw,residential facility waiver
rhc,rural health clinic
rhio,regional health information organization
rhorc,regional health occupations resource center
ri,rhode island
ria,regulatory impact analysis
rif,research identifiable file
risp,residential information systems project
rn,registered nurse
ro,regional office
rps,representative payee system
rr,relative risk
rrg,risk retention group
rrt,rapid response team
rsa,rehabilitation services administration
rsn,regional support network
rtac,research and technical assistance center
rtc,research and training center
rtc-mr&hp,research and training center in medical rehabilitation and health policy
rtf,residential treatment facility
rti,research triangle institute
rug,resource utilization group
rvu,relative value unit
rwj,robert wood johnson foundation
rwjf,robert wood johnson foundation
sa,special assistance
sachrp,secretary's advisory committee on human research protections
sacrr,secretary's advisory committee on regulatory reform
sacwis,statewide automated child welfare information system
samhsa,hhs substance abuse and mental health services administration
samm,self-administered medication management
saptbg,substance abuse prevention and treatment block grant
sba,small business administration
sbhc,school-based health center
sbhi,small business health insurance
sc,south carolina
scf,survey of consumer finances
schip,state children's health insurance program
s-chip,state children's health insurance program
sci,spinal cord injury
scsep,senior community service employment program
scu,special care unit
scu-a,special care unit for personson with alzheimer's and related disorders
sd,south dakota
sdo,standards development organization
sdri,san diego rehabilitation institute
sdsd,senior and disabled services division
sdwp,self-determination waiver program
sebhi,school enrollment-based health insurance
sed,serious emotional disturbance
seer,surveillance epidemiology and end results
sep,service entry point
sfy,state fiscal year
sga,solicitation for grant application
shcc,statewide health coordinating council
ship,state health insurance assistance programs
shp,specialized health plans
shmo,social health maintenance organization
shpda,state health planning and development agency
silj,survey of inmates in local jails
sip,survey of institutionalized persons
sipp,survey of income and program participation
sis,special income standard
sifcf,survey of inmates of federal correctional facilities
siscf,survey of inmates of state correctional facilities
siscf/sifcf,survey of inmates of state and federal correctional facilities
sj,summary judgment
slf,supportive living facility
slmb,specified low-income medicaid beneficiary
sls,support living services
sma,standard metropolitan area
smha,state mental health agency
smi,serious mental illness
smqt,surveyor minimum qualifications test
smwt,self-managed work team
sn,skilled nursing
snake,special needs assessment for katrina evacuees
sncc,schervier nursing care center
sndo,standard nomenclature of diseases and operations
snf,skilled nursing facility
snomed,systemized nomenclature of medicine
snomed-ct,systematized nomenclature of medicine-clinical terms
snu,skilled nursing unit
soa,supplement on aging
spd,seniors and people with disabilities
sped,service payments for elderly and disabled program
spia,single-premium immediate annuity
spmsq,short portable mental status questionnaire
spr,standard paper remittance
spry,setting priorities for retirement now [direct link]
ss/hs,safe schools/healthy schools
ssa,u.s. social security administration
ssaw,supports services for adults waiver
ssb,sipp synthetic beta
ssbg,social services block grant
ssc,special services for children
ssdi,social security disability insurance
ssi,supplemental security income
ssl,social service law
ssn,social security number
ssp,state supplemental payment
support,study to understand prognoses and preferences for outcomes and risks of treatments
swppa,southwestern pennsylvania partnerships on aging
t-tap,training and technical assistance for providers
ta,technical assistance
tag,technical advisory group
tahsa,texas association of homes and services for the aging
tal,tandem application language
tanf,temporary assistance for needy families
tar,treatment administration record
tb,tuberculosis
tbi,traumatic brain injury
tc,trial court
tcm,targeted case management
tcu,transitional care unit
tdhs,texas department of human services
tefra,tax equity and fiscal responsibility act
tep,technical expert panel
tepr,towards the electronic paper record
tesa,training and encouragement for senior activity
thca,texas health care association
tia,transient ischemic attack
tile,texas index for level of effort
tip,treatment improvement protocol
tirr,the institute for rehabilitation and research
title xix,medicaid title xix of the social security act
tlc,transition to life in the community
tlg,through the looking glass
tn,tennessee
tnh,teaching nursing home
tom,task order monitor
too,task order officer
tpn,total parenteral nutrition
tsp,thrift savings plan
ttw,ticket to work
tty,telephone typerwriter
twp,trial work period
twwiia,ticket to work and work incentives act
tx,texas
txhl waiver,texas home living waiver
uc,utilization control
ucdhsc,university of colorado at denver health sciences center
uchsc,university of colorado health sciences center
ucla,university of california los angeles
ucr,uniform crime report
uds,united disability services
uhin,utah health information network
uhint,utah health information network tool
ui,unemployment insurance
ukpds,united kingdom prospective diabetes study
upin,unique physician identification number
ur,utilization review
urac,utilization review accreditation commission
usda,u.s. department of agriculture
usf,university of southern florida
ut,utah
va,u.s. department of veterans affairs previously the u.s. veterans administration
vamc,veterans affairs medical center
vawa,violence against women act
vcis,voluntary cooperative information systems
virec,va information resource center
visn,veterans integrated service network
vista,veterans health information system and technology architecture
vna,visiting nurse association
vns,visiting nurse service
vnsny,visiting nurse service of new york
voices,victory over impairments of communication expression and speech
vr,vocational rehabilitation
vr&e,vocational rehabilitation and education
vsp,vertical service provider
vt,vermont
wa,washington state
wahsa,wisconsin association of homes and services for the aging
wb,war baby cohort
wbt,web-based training
wcga,wisconsin caregiver association
wearc,waiver for the elderly in adult residential care
weta,worker education training and assistance
who,world health organization
wi,wisconsin
wia,workforce investment act
wib,workforce investment board
win,welfare information network
wlllw,women living long and living well
wls,wisconsin longitudinal study
wtw,welfare-to-work
wv,west virginia
wy,wyoming
yetp,youth employment and training program
g2g,got to go
fb,facebook
msg,message
paw,parents are watching
pitr,parent in the room
pbb,parent behind back
poms,parent over my shoulder
kpc,keeping parents clueless
pah,parent at home.
tfw,that feeling when. tfw internet slang often goes in a caption to an image.
mfw,my face when
mrw,my reaction when
ifyp,i feel your pain
tntl,trying not to laugh
jk,just kidding
idc,i don’t care
imu,i miss you
adih,another day in hell
zzz,sleeping bored tired
wywh,wish you were here
time,tears in my eyes
bae,before anyone else
ssdd,same stuff different day
qq,crying
fimh,forever in my heart
bsaaw,big smile and a wink
bwl,bursting with laughter
bff,best friends forever
csl,can’t stop laughing
imoimho,in my opinionin my humble opinion
omdb,over my dead body
nth,nice to have. what does nth mean in texting messaging
tbh,to be honest
ftw,for the win
wtf,what the f***
ftl,for the loss
ynk,you never know
srsly,seriously
ygtr,you got that right
gmta,great minds think alike
aymm,are you my mother?
cwot,complete waste of time
afair,as far as i remember
afaic,as far as i’m concerned
aamof,as a matter of fact
dm,direct message
tl,– too long; didn’t read
soml,story of my life. what does soml mean in texting? most likely a person compares another person’s story with own situation.
embm,early morning business meeting
j4f,just for fun
jsyk,just so you know
fawc,for anyone who cares
rlrt,real life retweet
wuzup,what’s up?
cs,career suicide
dwh,during work hours
nsfl,not safe for life
sfw,safe for work
gras,generally recognised as safe
nbd,not big deal
oc,original content
4ao,for adults only
this,to someone who was the first to publish a post.
ppl,people
jic,just in case
nagi,not a good idea
goi,get over it
rbtl,read between the lines
ayor,at your own risk
e123,easy as one two three
gahoy,get a hold of yourself
tmb,tweet me back
wtpa,where the party at?
dae,does anyone else?
prt,please retweet
ptb,please text back
bump,bring up my post
gratz,congratulations
gl,good luck
w8,wait
nfs,not for sale
b4n,bye for now
b,– back at you
bbbg,bye bye be good
bbias,be back in a sec
ruok,are you ok?
cyt,see you tomorrow
dbmib,don’t bother me i’m busy
gfn,gone for now
her,having everything revealed
nerd,no one ever really dies
shield,strategic homeland intervention enforcement and logistics division
wall-e,waste allocation load lifter earth-class
yahoo,yet another hierarchical officious oracle
bolo,be on the lookout
fish,first in still here
bbs,be back soon
beg,big evil grin
btw,by the way
eg,evil grin
noyb,none of your business
wth,what the heck or hell
fubar,f***ed up beyond all recognition
nafta,north american free trade agreement
navy seals,navy sea air land forces
cia,central intelligence agency
csi,crime scene investigation
dmv,division of motor vehicles
dnc,democratic national committee
dz,drop zone
gib,gi bill
pow,prisoner of war
rnc,republican national committee
reap,reserve education assistance program
un,united nations
usaf,united states air force
pemdas,parentheses exponent multiplication division addition subtraction math order of operations
zip code,zone improvement plan code
abs,anti-lock braking system
doa,dead on arrival
dob,date of birth
esl,english as a second language
iq,intelligence quotient
otc,over the counter
ppv,pay per view
ps,post script
suv,sports utility vehicle
ufo,unidentified flying object
daemon,disk and execution monitor
swot,strengths weaknesses opportunities threats
ted,tell me explain to me describe to me
adp,automated data processing
aka,also known as
cdt,central daylight time
cst,central standard time
dba,doing business as
dnd,do not disturb
eds,electronic data systems
eow,end of week
edt,eastern daylight time
est,eastern standard time
mdt,mountain daylight time
mst,mountain standard time
pdt,pacific daylight time
pst,pacific standard time
flag,foreign language association of georgia
paws,progressive animal welfare society
peta,people for the ethical treatment of animals
aa,alcoholics anonymous
afl,american football league
espn,entertainment and sports programming network
ldr,long distance relationship
mla,modern language association
motos,member of the opposite sex
motss,member of the same sex
nba,national basketball association
nfl,national football league
nhl,national hockey league
pga,professional golfer’s association
spca,society for the prevention of cruelty to animals
swf,single white female
swm,single white male
wwe,world wrestling entertainment
bid,break it down
eom,end of message or end of month
eot,end of thread
iam,in a meeting
let,leaving early today
mom,month over month
mtd,month to date
nim,no internal message
ooo,out of office
otp,on the phone
pte,part-time employee
pto,paid time off
nrn,no reply necessary
nwr,not work related
re,referring to
rfd,request for discussion
sme,subject matter expert
tl;dr,too long didn’t read
tltr,too long to read
tos,terms of service
tyt,take your time
wfh,work from home
wiifm,what’s in it for me
wom,word of mouth
ytd,year to date
finance,finance
acct,account
ap,accounts payable
bs,balance sheet
cpu,cost per unit
dr,debit
eps,earnings per share
fifo,first in first out
ipo,initial public offering
lifo,last in first out
lwop,leave without pay
nav,net assets value
p-card,purchase card
roa,return on assets
roe,return on equity
roi,return on investment
p/e,price to earnings
p&l,profit and loss
api,application program interface
css,cascading style sheet
ftp,file transport protocol
html,hypertext markup language
http,hypertext transfer protocol
https,hypertext transfer protocol secure
im,instant messaging
ip,internet protocol
os,operating system
ux,user experience
vpn,virtual private network
ror,ruby on rails
rss,rich site summary or really simple syndication
aida,attention interest desire action
b2b,business to business
b2c,business to consumer
br,bounce rate
cpc,cost per click
cta,call to action
ctr,click through rate
crm,customer relationship management
esp,email service provider
kpi,key performance indicator
ppc,pay per click
pv,page view
ros,run of site
rt,retweet
saas,software as a service
seo,search engine optimization
sm,social media
smb,small to medium business
uv,unique visitor
bd,business development
cao,chief analytics officer
cdo,chief data officer
cfo,chief financial officer
coo,chief operating officer
cpa,certified public accountant
cso,chief security officer
csr,corporate social responsibility
cto,chief technology officer
cfp,certified financial planner
gc,general counsel
pm,project manager
